location,date,hits
MI,2020-03-22,63.888888888888886
MI,2020-03-23,277.77777777777777
MN,2020-03-19,8.944444444444443
MN,2020-03-20,14.694444444444443
MN,2020-03-21,3.833333333333333
MN,2020-03-22,4.472222222222221
MN,2020-03-23,1.9166666666666665
MO,2020-03-19,43.91891891891892
MO,2020-03-20,59.72972972972973
MO,2020-03-21,65
MO,2020-03-22,49.18918918918919
MO,2020-03-23,114.1891891891892
MS,2020-03-19,38.52777777777778
MS,2020-03-20,36.5
MS,2020-03-21,73
MS,2020-03-22,79.08333333333333
MS,2020-03-23,148.02777777777777
MT,2020-03-19,118.91891891891892
MT,2020-03-20,137.83783783783784
MT,2020-03-21,113.51351351351352
MT,2020-03-22,67.56756756756756
MT,2020-03-23,270.27027027027026
NC,2020-03-19,80.327868852459
NC,2020-03-20,66.55737704918033
NC,2020-03-21,40.1639344262295
NC,2020-03-22,48.19672131147541
NC,2020-03-23,70
ND,2020-03-19,72.42622950819671
ND,2020-03-20,144.85245901639342
ND,2020-03-21,120.1967213114754
ND,2020-03-22,83.21311475409836
ND,2020-03-23,66.26229508196721
NE,2020-03-19,80.8108108108108
NE,2020-03-20,56.21621621621622
NE,2020-03-21,49.18918918918919
NE,2020-03-22,38.64864864864865
NE,2020-03-23,114.1891891891892
NH,2020-03-19,232.55813953488374
NH,2020-03-20,125.58139534883722
NH,2020-03-21,62.79069767441861
NH,2020-03-22,165.11627906976744
NH,2020-03-23,60.46511627906977
NJ,2020-03-19,41.674418604651166
NJ,2020-03-20,53.395348837209305
NJ,2020-03-21,46.88372093023256
NJ,2020-03-22,24.74418604651163
NJ,2020-03-23,72.93023255813954
NM,2020-03-19,51.372093023255815
NM,2020-03-20,32.7906976744186
NM,2020-03-21,36.06976744186046
NM,2020-03-22,15.302325581395348
NM,2020-03-23,22.953488372093023
NV,2020-03-19,152.02702702702703
NV,2020-03-20,150
NV,2020-03-21,113.51351351351352
NV,2020-03-22,87.16216216216218
NV,2020-03-23,85.13513513513514
NY,2020-03-19,51.48837209302326
NY,2020-03-20,54
NY,2020-03-21,33.906976744186046
NY,2020-03-22,46.46511627906977
NY,2020-03-23,67.81395348837209
OH,2020-03-19,119.67213114754098
OH,2020-03-20,121.31147540983606
OH,2020-03-21,78.68852459016394
OH,2020-03-22,126.22950819672131
OH,2020-03-23,163.9344262295082
OK,2020-03-19,63.934426229508205
OK,2020-03-20,63.934426229508205
OK,2020-03-21,40.49180327868853
OK,2020-03-22,27.704918032786885
